Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	Fisher	NGI_ID	User_ID	Mreads	Q30	Sample_ID_O	Site	Transect	Ecotype	Type	Main_Analysis	Reads_Sample
240	240	0	240	6.7811011888434	2.89234588464971	0.864545652362981	7.38256111704684	29.7328908078602	P9723_1001	3a	0.02	71.46.00	3	I	1	Meadow	A	Yes	95207
134	134	0	134	5.25825576891646	2.09685462350038	0.773183146492356	4.40884345468755	15.2169732202265	P9723_1002	23a	0.26	70.55.00	23	V	1	Pine	A	Yes	101541
203	203	0	203	6.36802356606279	2.97868447266892	0.90382401755273	10.3976062895772	24.3336073202731	P9723_1003	43a	0.28	69.03.00	43	IV	2	Spruce	A	Yes	102129
296	296	0	296	7.81111474205273	3.6213592758961	0.940159603973415	16.7111193508099	40.2269050556998	P9723_1004	63a	0.02	69.63	63	III	3	Spruce-Alder	A	Yes	63080
318	318	0	318	7.83176084845684	3.882019241571	0.95023318967176	20.0937129264351	44.3224541912522	P9723_1009	4a	0.15	69.96	4	I	1	Meadow	A	Yes	57839
106	106	0	106	4.90763748257523	1.78453595105574	0.755392767294868	4.08818655499642	12.0591249586571	P9723_1010	24a	0.02	72.89	24	V	1	Pine	A	Yes	79197
224	224	0	224	6.66246147134397	2.89706748674578	0.884102939464512	8.62834652906316	27.5365319442134	P9723_1011	44a	0.23	69.44.00	44	IV	2	Spruce	A	Yes	93889
296	296	0	296	8.00928515216237	3.89782449843671	0.956098489206968	22.7782593796004	41.5721697071872	P9723_1012	64a	0.16	71.26.00	64	III	3	Spruce-Alder	A	Yes	51368
213	213	0	213	6.97076389614328	2.04113867379306	0.691015834901149	3.23641180667002	25.2736475986516	P9723_1017	5a	0.02	72.37.00	5	I	1	Meadow	A	Yes	115531
133	133	0	133	5.42619655214925	1.68254557740032	0.709108998570175	3.43771376592837	15.8109402948741	P9723_1018	25a	0.25	73.63	25	V	1	Pine	A	Yes	71138
182	182	0	182	6.41812337777233	2.43612753169382	0.81033345289753	5.27241105654618	23.0982047263278	P9723_1019	45a	0.18	70.18.00	45	IV	2	Spruce	A	Yes	61009
346	346	0	346	8.96573438506762	3.6361438678913	0.918075744430352	12.2063971536469	49.3519301522078	P9723_1020	65a	0.19	70.74	65	III	3	Spruce-Alder	A	Yes	54663
368	368	0	368	8.99275070361629	3.87272670265038	0.94753414625125	19.0600157730938	51.4838493479089	P9723_1025	8a	0.21	71.05.00	8	II	1	Alder	A	Yes	65405
187	187	0	187	6.59849277879969	1.35539598244334	0.403667644308212	1.67691722653541	21.7805315893001	P9723_1026	28a	0.23	72.68	28	I	2	Meadow	A	Yes	116597
160	160	0	160	5.68715658303866	2.14868464577971	0.730983054342227	3.71723795151603	18.2880499433165	P9723_1027	48a	0.23	71.59.00	48	V	2	Pine	A	Yes	115263
235	235	0	235	6.8572061800521	3.9763777136279	0.954687545424565	22.0689876408092	35.8865320040781	P9723_1028	68a	0.16	66.21.00	68	IV	3	Spruce	A	Yes	25018
436	436	0	436	9.25220033338958	4.33889126636584	0.960149061247681	25.0935117542696	63.1918340345687	P9723_1033	9a	0.18	70.98	9	II	1	Alder	A	Yes	62617
273	273	0	273	7.07417529072867	3.38382664205361	0.931962425635566	14.6977608967015	35.3919735196274	P9723_1034	29a	0.02	70.65	29	I	2	Meadow	A	Yes	79194
206	206	0	206	6.55262490944534	2.35162164361528	0.803323714534727	5.0844970843044	24.6785720388643	P9723_1035	49a	0.24	71.51.00	49	V	2	Pine	A	Yes	104091
237	237	0	237	6.45725967664655	3.75980727306539	0.942977689209444	17.5369953643762	32.9849846387107	P9723_1036	69a	0.22	70.36.00	69	IV	3	Spruce	A	Yes	43494
426	426	0	426	9.35339058806793	4.23435258445438	0.963732474326567	27.5728763247977	60.2527871562293	P9723_1041	10a	0.17	70.42.00	10	II	1	Alder	A	Yes	70821
227	227	0	227	7.32505205887291	3.45979853872664	0.926868205496333	13.6739431431545	31.3512291135976	P9723_1042	30a	0.15	70.09.00	30	I	2	Meadow	A	Yes	43699
164	164	0	164	6.04606302057632	2.76452962558847	0.869579164843145	7.66748655456253	20.7895330362197	P9723_1043	50a	0.16	70.47.00	50	V	2	Pine	A	Yes	55418
216	216	0	216	6.64858659443522	3.07770975984722	0.866514105838329	7.49142826124273	28.4142669685876	P9723_1044	70a	0.02	70.28.00	70	IV	3	Spruce	A	Yes	56852
154	154	0	154	5.71452921559109	3.21076508111624	0.928403263909635	13.9671171425728	20.1774607271233	P9723_1049	13a	0.12	71.02.00	13	III	1	Spruce-Alder	A	Yes	41621
315	315	0	315	8.21651453544087	3.36298672250555	0.894779463684692	9.50384815568097	44.8816163981768	P9723_1050	33a	0.11	72.46.00	33	II	2	Alder	A	Yes	50091
244	244	0	244	6.68831866446098	3.83195469340521	0.955388258355508	22.4156234017699	33.9946084241505	P9723_1051	53a	0.14	67.42.00	53	I	3	Meadow	A	Yes	44491
168	168	0	168	5.73989795827666	2.70949210068245	0.802500717292506	5.06330952847586	21.9793111711595	P9723_1052	73a	0.17	70.21.00	73	V	3	Pine	A	Yes	45852
376	376	0	376	8.77375195707374	3.51515165374715	0.890059728030339	9.09584797348833	52.2591537237823	P9723_1058	34a	0.18	70.59.00	34	II	2	Alder	A	Yes	69590
233	233	0	233	7.18008691233397	2.2118933737865	0.781770252518626	4.58232670633205	28.2958730394217	P9723_1059	54a	0.22	69.02.00	54	I	3	Meadow	A	Yes	106603
196	196	0	196	6.10285981808395	3.26752576294648	0.907736406133422	10.8385112490425	25.4230926801996	P9723_1060	74a	0.21	69.54.00	74	V	3	Pine	A	Yes	56655
294	294	0	294	8.32666399786453	3.8480070222178	0.95696416961594	23.2364518373602	40.1161581156067	P9723_1061	14b	0.23	69.61	14	III	1	Spruce-Alder	B	Yes	61074
286	286	0	286	7.92204148302325	3.81620792636691	0.955109625000444	22.2764902278025	39.4902669391261	P9723_1065	15a	0.16	72.76	15	III	1	Spruce-Alder	A	Yes	55140
327	327	0	327	8.54382478144446	3.74040053335926	0.940646341674687	16.8481611448291	46.8055329782063	P9723_1066	35a	0.13	72.04.00	35	II	2	Alder	A	Yes	50586
250	250	0	250	7.27296363252285	3.98636606367449	0.960186484269557	25.1170985946205	35.1143150583439	P9723_1067	55a	0.13	68.18.00	55	I	3	Meadow	A	Yes	43365
207	207	0	207	6.39141936864526	3.56217705066366	0.931566714681902	14.6127720648176	26.3937975750735	P9723_1068	75a	0.18	70.59.00	75	V	3	Pine	A	Yes	67204
195	195	0	195	6.4147266464533	3.43678520588963	0.92944357431806	14.1730535572746	27.1780332591292	P9723_1073	18a	0.14	71.61	18	IV	1	Spruce	A	Yes	35474
281	281	0	281	7.64748231545027	3.83892687942011	0.945834323694484	18.461876010919	41.1607969527042	P9723_1074	38a	0.12	65.91	38	III	2	Spruce-Alder	A	Yes	37922
243	243	0	243	7.45411202010209	3.33642067362054	0.91849451037204	12.2691122348273	33.3993757919604	P9723_1075	58a	0.15	70.08.00	58	II	3	Alder	A	Yes	48215
139	139	0	139	5.25466562127096	3.00714288388955	0.864306481857373	7.36954877202685	18.9356966204034	P9723_1081	19a	0.08	71.21.00	19	IV	1	Spruce	A	Yes	29174
261	261	0	261	7.65841635040617	3.53422778115582	0.879107470159998	8.27180969182688	39.2786987428135	P9723_1082	39a	0.11	71.74	39	III	2	Spruce-Alder	A	Yes	30158
299	299	0	299	7.88037654228277	3.83678221988169	0.945231763622261	18.258758472757	45.0806862607642	P9723_1083	59a	0.11	69.57.00	59	II	3	Alder	A	Yes	34190
162	162	0	162	5.81186525805423	3.0803738706718	0.875257375445781	8.01650601447261	22.2799044714598	P9723_1089	20a	0.11	69.09.00	20	IV	1	Spruce	A	Yes	32020
237	237	0	237	7.27982009329333	3.10281764921747	0.861333368196226	7.21154027462854	33.7153715796528	P9723_1090	40a	0.12	68.04.00	40	III	2	Spruce-Alder	A	Yes	38044
265	265	0	265	7.78823495880709	3.50160240750353	0.932156205461852	14.7397415903337	38.8430086221479	P9723_1091	60a	0.11	69.57.00	60	II	3	Alder	A	Yes	35624
